N,Z,A,Mass Excess (keV),Zshell_category,Nshell_category,ZEO,NEO,deltaN,deltaZ,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A
50,42,92,-86808.587,11,11,0,0,0,8,20.379423055219398,381.44963588138927,0.6956521739130435
49,43,92,-78925.703,11,11,1,1,1,7,20.379423055219398,400.0569351926765,0.391304347826087
48,44,92,-74301.211,11,11,0,0,2,6,20.379423055219398,419.10726543994684,0.17391304347826086
47,45,92,-62999.095,11,11,1,1,3,5,20.379423055219398,438.6006266232002,0.043478260869565216
46,46,92,-54779.095,11,11,0,0,4,4,20.379423055219398,458.53701874243654,0.0
45,47,92,-37530.0,11,11,1,1,5,3,20.379423055219398,478.916441797656,0.043478260869565216
59,34,93,-40860.0,9,13,0,1,9,6,20.526833787405323,247.6463173061159,6.720430107526882
58,35,93,-52890.235,9,12,1,0,8,7,20.526833787405323,262.6551850216381,5.688172043010753
57,36,93,-64136.002,9,12,0,1,7,8,20.526833787405323,278.1054900229109,4.741935483870968
56,37,93,-72619.9,9,12,1,0,6,9,20.526833787405323,293.99723230993436,3.881720430107527
55,38,93,-80085.844,9,12,0,1,5,10,20.526833787405323,310.3304118827085,3.10752688172043
54,39,93,-84227.155,10,12,1,0,4,11,20.526833787405323,327.1050287412333,2.4193548387096775
53,40,93,-87122.028,10,12,0,1,3,10,20.526833787405323,344.3210828855087,1.8172043010752688
52,41,93,-87212.84,11,12,1,0,2,9,20.526833787405323,361.97857431553484,1.3010752688172043
51,42,93,-86807.079,11,12,0,1,1,8,20.526833787405323,380.07750303131155,0.8709677419354839
50,43,93,-83606.116,11,11,1,0,0,7,20.526833787405323,398.61786903283894,0.5268817204301075
49,44,93,-77216.723,11,11,0,1,1,6,20.526833787405323,417.599672320117,0.26881720430107525
48,45,93,-69011.81,11,11,1,0,2,5,20.526833787405323,437.0229128931457,0.0967741935483871
47,46,93,-58981.81,11,11,0,1,3,4,20.526833787405323,456.887590751925,0.010752688172043012
46,47,93,-46400.0,11,11,1,0,4,3,20.526833787405323,477.19370589645507,0.010752688172043012
60,34,94,-36803.0,9,13,0,0,10,6,20.673717099616514,246.76500623159288,7.191489361702128
59,35,94,-47650.0,9,13,1,1,9,7,20.673717099616514,261.7204611547197,6.127659574468085
58,36,94,-61347.78,9,12,0,0,8,8,20.673717099616514,277.115782399115,5.148936170212766
57,37,94,-68562.791,9,12,1,1,7,9,20.673717099616514,292.9509699647787,4.25531914893617
56,38,94,-78845.721,9,12,0,0,6,10,20.673717099616514,309.22602385171086,3.4468085106382977
55,39,94,-82351.473,10,12,1,1,5,11,20.673717099616514,325.94094405991143,2.723404255319149
54,40,94,-87269.332,10,12,0,0,4,10,20.673717099616514,343.0957305893805,2.0851063829787235
53,41,94,-86369.063,11,12,1,1,3,9,20.673717099616514,360.69038344011796,1.5319148936170213
52,42,94,-88414.079,11,12,0,0,2,8,20.673717099616514,378.72490261212386,1.0638297872340425
51,43,94,-84158.332,11,12,1,1,1,7,20.673717099616514,397.1992881053982,0.6808510638297872
50,44,94,-82583.602,11,11,0,0,0,6,20.673717099616514,416.11353991994093,0.3829787234042553
49,45,94,-72907.623,11,11,1,1,1,5,20.673717099616514,435.46765805575217,0.1702127659574468
48,46,94,-66102.281,11,11,0,0,2,4,20.673717099616514,455.26164251283177,0.0425531914893617
47,47,94,-52402.0,11,11,1,1,3,3,20.673717099616514,475.49549329117986,0.0
46,48,94,-40440.0,11,11,0,0,4,2,20.673717099616514,496.16921039079637,0.0425531914893617
61,34,95,-30460.0,9,13,0,1,11,6,20.820080460021323,245.8961081699361,7.673684210526316
60,35,95,-43850.0,9,13,1,0,10,7,20.820080460021323,260.7989026044777,6.578947368421052
59,36,95,-56158.92,9,13,0,1,9,8,20.820080460021323,276.1400145223881,5.568421052631579
58,37,95,-65890.307,9,12,1,0,8,9,20.820080460021323,291.9194439236675,4.6421052631578945
57,38,95,-75117.284,9,12,0,1,7,10,20.820080460021323,308.13719080831567,3.8
56,39,95,-81207.937,10,12,1,0,6,11,20.820080460021323,324.7932551763327,3.042105263157895
55,40,95,-85659.94,10,12,0,1,5,10,20.820080460021323,341.88763702771865,2.3684210526315788
54,41,95,-86786.272,11,12,1,0,4,9,20.820080460021323,359.42033636247345,1.7789473684210526
53,42,95,-87711.872,11,12,0,1,3,8,20.820080460021323,377.3913531805971,1.2736842105263158
52,43,95,-86021.355,11,12,1,0,2,7,20.820080460021323,395.80068748208964,0.8526315789473684
51,44,95,-83457.759,11,12,0,1,1,6,20.820080460021323,414.6483392669511,0.5157894736842106
50,45,95,-78340.616,11,11,1,0,0,5,20.820080460021323,433.93430853518134,0.2631578947368421
49,46,95,-69965.913,11,11,0,1,1,4,20.820080460021323,453.6585952867805,0.09473684210526316
48,47,95,-59906.0,11,11,1,0,2,3,20.820080460021323,473.82119952174855,0.010526315789473684
47,48,95,-47056.0,11,11,0,1,3,2,20.820080460021323,494.4221212400854,0.010526315789473684
61,35,96,-38210.0,9,13,1,1,11,7,20.965931153671168,259.8901882590489,7.041666666666667
60,36,96,-53081.682,9,13,0,0,10,8,20.965931153671168,275.17784639193417,6.0
59,37,96,-61354.351,9,13,1,1,9,9,20.965931153671168,290.9022947571875,5.041666666666667
58,38,96,-72918.248,9,12,0,0,8,10,20.965931153671168,307.06353335480907,4.166666666666667
57,39,96,-78329.986,10,12,1,1,7,11,20.965931153671168,323.66156218479875,3.375
56,40,96,-85438.86,10,12,0,0,6,10,20.965931153671168,340.6963812471566,2.6666666666666665
55,41,96,-85602.83,11,12,1,1,5,9,20.965931153671168,358.16799054188255,2.0416666666666665
54,42,96,-88794.889,11,12,0,0,4,8,20.965931153671168,376.07639006897665,1.5
53,43,96,-85821.648,11,12,1,1,3,7,20.965931153671168,394.42157982843895,1.0416666666666667
52,44,96,-86080.385,11,12,0,0,2,6,20.965931153671168,413.2035598202694,0.6666666666666666
51,45,96,-79687.732,11,12,1,1,1,5,20.965931153671168,432.4223300444679,0.375
50,46,96,-76183.42,11,11,0,0,0,4,20.965931153671168,452.0778905010347,0.16666666666666666
49,47,96,-64511.645,11,11,1,1,1,3,20.965931153671168,472.17024118996954,0.041666666666666664
48,48,96,-55572.0,11,11,0,0,2,2,20.965931153671168,492.69938211127254,0.0
47,49,96,-38090.0,11,11,1,1,3,1,20.965931153671168,513.6653132649437,0.041666666666666664
62,35,97,-34000.0,9,13,1,0,12,7,21.111276288848163,258.99400807968374,7.515463917525773
61,36,97,-47423.499,9,13,0,1,11,8,21.111276288848163,274.22894973142985,6.443298969072165
60,37,97,-58519.145,9,13,1,0,10,9,21.111276288848163,289.8991754303687,5.453608247422681
59,38,97,-68580.674,9,13,0,1,9,10,21.111276288848163,306.0046851765003,4.546391752577319
58,39,97,-76115.455,10,12,1,0,8,11,21.111276288848163,322.5454789698246,3.7216494845360826
57,40,97,-82936.693,10,12,0,1,7,10,21.111276288848163,339.5215568103417,2.979381443298969
56,41,97,-85602.797,11,12,1,0,6,9,21.111276288848163,356.93291869805154,2.3195876288659796
55,42,97,-87544.7,11,12,0,1,5,8,21.111276288848163,374.7795646329541,1.7422680412371134
54,43,97,-87224.436,11,12,1,0,4,7,21.111276288848163,393.0614946150494,1.2474226804123711
53,44,97,-86120.564,11,12,0,1,3,6,21.111276288848163,411.7787086443375,0.8350515463917526
52,45,97,-82597.564,11,12,1,0,2,5,21.111276288848163,430.9312067208183,0.5051546391752577
51,46,97,-77805.852,11,12,0,1,1,4,21.111276288848163,450.51898884449184,0.25773195876288657
50,47,97,-70904.027,11,11,1,0,0,3,21.111276288848163,470.5420550153582,0.09278350515463918
49,48,97,-60734.027,11,11,0,1,1,2,21.111276288848163,491.0004052334172,0.010309278350515464
48,49,97,-47390.0,11,11,1,0,2,1,21.111276288848163,511.89403949866903,0.010309278350515464
63,35,98,-28050.0,9,13,1,1,13,7,21.256122803129635,258.11006260943134,8.0
62,36,98,-44120.0,9,13,0,0,12,8,21.256122803129635,273.29300746880966,6.8979591836734695
61,37,98,-54369.152,9,13,1,1,11,9,21.256122803129635,288.9097507527417,5.877551020408164
60,38,98,-66422.389,9,13,0,0,10,10,21.256122803129635,304.9602924612273,4.938775510204081
59,39,98,-72288.748,10,13,1,1,9,11,21.256122803129635,321.44463259426664,4.081632653061225
57,41,98,-83524.612,11,12,1,1,7,9,21.256122803129635,355.71470813400623,2.6122448979591835
56,42,98,-88115.98,11,12,0,0,6,8,21.256122803129635,373.50044354070656,2.0
55,43,98,-86432.214,11,12,1,1,5,7,21.256122803129635,391.7199773719605,1.469387755102041
54,44,98,-88224.871,11,12,0,0,4,6,21.256122803129635,410.37330962776815,1.0204081632653061
53,45,98,-83175.219,11,12,1,1,3,5,21.256122803129635,429.4604403081295,0.6530612244897959
52,46,98,-81320.985,11,12,0,0,2,4,21.256122803129635,448.98136941304443,0.3673469387755102
51,47,98,-73066.425,11,12,1,1,1,3,21.256122803129635,468.9360969425131,0.16326530612244897
50,48,98,-67636.425,11,11,0,0,0,2,21.256122803129635,489.3246228965354,0.04081632653061224
49,49,98,-53906.0,11,11,1,1,1,1,21.256122803129635,510.14694727511136,0.0
63,36,99,-38400.0,9,13,0,1,13,8,21.400477469184917,272.36971324417175,7.363636363636363
62,37,99,-51121.15,9,13,1,0,12,9,21.400477469184917,287.9336968581244,6.313131313131313
61,38,99,-62518.527,9,13,0,1,11,10,21.400477469184917,303.93001335024246,5.343434343434343
60,39,99,-70643.73,10,13,1,0,10,11,21.400477469184917,320.35866272052584,4.454545454545454
59,40,99,-77616.67,10,13,0,1,9,10,21.400477469184917,337.21964496897454,3.6464646464646466
58,41,99,-82335.344,11,12,1,0,8,9,21.400477469184917,354.5129600955886,2.919191919191919
57,42,99,-85970.106,11,12,0,1,7,8,21.400477469184917,372.2386081003681,2.272727272727273
56,43,99,-87327.869,11,12,1,0,6,7,21.400477469184917,390.3965889833128,1.707070707070707
55,44,99,-87625.385,11,12,0,1,5,6,21.400477469184917,408.986902744423,1.2222222222222223
54,45,99,-85584.522,11,12,1,0,4,5,21.400477469184917,428.00954938369847,0.8181818181818182
53,46,99,-82182.861,11,12,0,1,3,4,21.400477469184917,447.4645289011393,0.494949494949495
52,47,99,-76712.483,11,12,1,0,2,3,21.400477469184917,467.3518412967455,0.25252525252525254
51,48,99,-69931.132,11,12,0,1,1,2,21.400477469184917,487.67148657051706,0.09090909090909091
50,49,99,-61376.0,11,11,1,0,0,1,21.400477469184917,508.42346472245396,0.010101010101010102
49,50,99,-47976.0,11,11,0,1,1,0,21.400477469184917,529.6077757525562,0.010101010101010102
64,36,100,-34470.0,9,13,0,0,14,8,21.544346900318832,271.4587709440174,7.84
63,37,100,-46265.884,9,13,1,1,13,9,21.544346900318832,286.9707007122469,6.76
62,38,100,-59817.505,9,13,0,0,12,10,21.544346900318832,302.9135174184829,5.76
61,39,100,-67321.241,10,13,1,1,11,11,21.544346900318832,319.2872210627252,4.84
60,40,100,-76372.736,10,13,0,0,10,10,21.544346900318832,336.0918116449739,4.0
59,41,100,-79791.246,11,13,1,1,9,9,21.544346900318832,353.327289165229,3.24
58,42,100,-86193.029,11,12,0,0,8,8,21.544346900318832,370.9936536234904,2.56
57,43,100,-86020.951,11,12,1,1,7,7,21.544346900318832,389.0909050197582,1.96
56,44,100,-89227.391,11,12,0,0,6,6,21.544346900318832,407.61904335403244,1.44
55,45,100,-85591.13,11,12,1,1,5,5,21.544346900318832,426.57806862631304,1.0
54,46,100,-85212.672,11,12,0,0,4,4,21.544346900318832,445.96798083659996,0.64
53,47,100,-78137.969,11,12,1,1,3,3,21.544346900318832,465.7887799848933,0.36
52,48,100,-74194.595,11,12,0,0,2,2,21.544346900318832,486.040466071193,0.16
51,49,100,-64178.146,11,12,1,1,1,1,21.544346900318832,506.72303909549913,0.04
50,50,100,-57148.146,11,11,0,0,0,0,21.544346900318832,527.8364990578116,0.0
65,36,101,-28580.0,9,14,0,1,15,8,21.68773755577532,270.5598942601674,8.326732673267326
64,37,101,-42567.417,9,13,1,0,14,9,21.68773755577532,286.0204596464627,7.217821782178218
63,38,101,-55324.914,9,13,0,1,13,10,21.68773755577532,301.91048518237733,6.188118811881188
62,39,101,-65054.787,10,13,1,0,12,11,21.68773755577532,318.2299708679112,5.237623762376238
61,40,101,-73160.987,10,13,0,1,11,10,21.68773755577532,334.97891670306444,4.366336633663367
60,41,101,-78891.488,11,13,1,0,10,9,21.68773755577532,352.157322687837,3.5742574257425743
59,42,101,-83519.952,11,13,0,1,9,8,21.68773755577532,369.7651888222288,2.8613861386138613
58,43,101,-86344.593,11,12,1,0,8,7,21.68773755577532,387.80251510624,2.227722772277228
57,44,101,-87958.113,11,12,0,1,7,6,21.68773755577532,406.26930153987047,1.6732673267326732
56,45,101,-87412.428,11,12,1,0,6,5,21.68773755577532,425.1655481231203,1.198019801980198
55,46,101,-85432.145,11,12,0,1,5,4,21.68773755577532,444.4912548559894,0.801980198019802
54,47,101,-81334.384,11,12,1,0,4,3,21.68773755577532,464.2464217384778,0.48514851485148514
53,48,101,-75836.466,11,12,0,1,3,2,21.68773755577532,484.4310487705855,0.24752475247524752
52,49,101,-68544.901,11,12,1,0,2,1,21.68773755577532,505.04513595231253,0.0891089108910891
51,50,101,-60305.624,11,12,0,1,1,0,21.68773755577532,526.088683283659,0.009900990099009901
65,37,102,-37252.312,9,14,1,1,15,9,21.830655745813875,285.0826809159224,7.686274509803922
64,38,102,-52159.311,9,13,0,0,14,10,21.830655745813875,300.9206076334737,6.627450980392157
63,39,102,-61172.641,10,13,1,1,13,11,21.830655745813875,317.1865864244723,5.647058823529412
62,40,102,-71581.427,10,13,0,0,12,10,21.830655745813875,333.8806172889182,4.745098039215686
61,41,102,-76298.265,11,13,1,1,11,9,21.830655745813875,351.00270022681144,3.9215686274509802
60,42,102,-83560.866,11,13,0,0,10,8,21.830655745813875,368.552835238152,3.176470588235294
59,43,102,-84572.921,11,13,1,1,9,7,21.830655745813875,386.5310223229399,2.5098039215686274
58,44,102,-89106.435,11,12,0,0,8,6,21.830655745813875,404.93726148117514,1.9215686274509804
57,45,102,-86783.316,11,12,1,1,7,5,21.830655745813875,423.77155271285767,1.411764705882353
56,46,102,-87902.963,11,12,0,0,6,4,21.830655745813875,443.0338960179876,0.9803921568627451
55,47,102,-82246.702,11,12,1,1,5,3,21.830655745813875,462.7242913965648,0.6274509803921569
54,48,102,-79659.702,11,12,0,0,4,2,21.830655745813875,482.84273884858936,0.35294117647058826
53,49,102,-70694.896,11,12,1,1,3,1,21.830655745813875,503.3892383740613,0.1568627450980392
52,50,102,-64934.896,11,12,0,0,2,0,21.830655745813875,524.3637899729805,0.0392156862745098
66,37,103,-33160.0,9,14,1,0,16,9,21.973107636570674,284.1570812807004,8.16504854368932
65,38,103,-47280.0,9,14,0,1,15,10,21.973107636570674,299.9435857962949,7.077669902912621
64,39,103,-58457.034,10,13,1,0,14,11,21.973107636570674,316.15675259609463,6.067961165048544
63,40,103,-67808.993,10,13,0,1,13,10,21.973107636570674,332.7965816800996,5.135922330097087
62,41,103,-75028.667,11,13,1,0,12,9,21.973107636570674,349.86307304830984,4.281553398058253
61,42,103,-80954.331,11,13,0,1,11,8,21.973107636570674,367.3562267007253,3.504854368932039
60,43,103,-84603.92,11,13,1,0,10,7,21.973107636570674,385.27604263734605,2.8058252427184467
59,44,103,-87267.168,11,13,0,1,9,6,21.973107636570674,403.6225208581721,2.1844660194174756
58,45,103,-88031.705,11,12,1,0,8,5,21.973107636570674,422.3956613632033,1.6407766990291262
57,46,103,-87456.98,11,12,0,1,7,4,21.973107636570674,441.59546415243983,1.174757281553398
56,47,103,-84802.702,11,12,1,0,6,3,21.973107636570674,461.22192922588164,0.7864077669902912
55,48,103,-80651.626,11,12,0,1,5,2,21.973107636570674,481.2750565835286,0.47572815533980584
54,49,103,-74632.397,11,12,1,0,4,1,21.973107636570674,501.75484622538096,0.24271844660194175
53,50,103,-67092.0,11,12,0,1,3,0,21.973107636570674,522.6612981514385,0.08737864077669903
52,51,103,-56670.0,12,12,1,0,2,1,21.973107636570674,543.9944123617013,0.009708737864077669
66,38,104,-43760.0,9,14,0,0,16,10,22.115099254715485,298.9791303089421,7.538461538461538
65,39,104,-54080.0,10,14,1,1,15,11,22.115099254715485,315.14016437969576,6.5
64,40,104,-65717.66,10,13,0,0,14,10,22.115099254715485,331.72648882073236,5.538461538461538
63,41,104,-71810.997,11,13,1,1,13,9,22.115099254715485,348.73810363205195,4.653846153846154
62,42,104,-80343.748,11,13,0,0,12,8,22.115099254715485,366.1750088136546,3.8461538461538463
61,43,104,-82498.969,11,13,1,1,11,7,22.115099254715485,384.03720436554016,3.1153846153846154
60,44,104,-88095.763,11,13,0,0,10,6,22.115099254715485,402.32469028770873,2.4615384615384617
59,45,104,-86959.344,11,13,1,1,9,5,22.115099254715485,421.0374665801603,1.8846153846153846
58,46,104,-89395.123,11,12,0,0,8,4,22.115099254715485,440.17553324289486,1.3846153846153846
57,47,104,-85116.47,11,12,1,1,7,3,22.115099254715485,459.7388902759124,0.9615384615384616
56,48,104,-83968.391,11,12,0,0,6,2,22.115099254715485,479.72753767921296,0.6153846153846154
55,49,104,-76182.675,11,12,1,1,5,1,22.115099254715485,500.1414754527965,0.34615384615384615
54,50,104,-71627.057,11,12,0,0,4,0,22.115099254715485,520.980703596663,0.15384615384615385
53,51,104,-59295.0,12,12,1,1,3,1,22.115099254715485,542.2452221108125,0.038461538461538464
67,38,105,-38190.0,9,14,0,1,15,10,22.25663649191485,298.02696102506945,8.00952380952381
66,39,105,-50570.0,10,14,1,0,16,11,22.25663649191485,314.136526485884,6.942857142857143
65,40,105,-61458.274,10,14,0,1,15,10,22.25663649191485,330.6700278798779,5.9523809523809526
64,41,105,-69915.547,11,13,1,0,14,9,22.25663649191485,347.62746520705116,5.038095238095238
63,42,105,-77330.788,11,13,0,1,13,8,22.25663649191485,365.0088384674037,4.2
62,43,105,-82286.303,11,13,1,0,12,7,22.25663649191485,382.8141476609356,3.4380952380952383
61,44,105,-85934.543,11,13,0,1,11,6,22.25663649191485,401.0433927876468,2.7523809523809524
60,45,105,-87851.27,11,13,1,0,10,5,22.25663649191485,419.69657384753737,2.142857142857143
59,46,105,-88417.905,11,13,0,1,9,4,22.25663649191485,438.77369084060723,1.6095238095238096
58,47,105,-87070.848,11,12,1,0,8,3,22.25663649191485,458.27474376685643,1.1523809523809523
57,48,105,-84333.849,11,12,0,1,7,2,22.25663649191485,478.19973262628497,0.7714285714285715
56,49,105,-79640.582,11,12,1,0,6,1,22.25663649191485,498.54865741889284,0.4666666666666667
55,50,105,-73338.001,11,12,0,1,5,0,22.25663649191485,519.32151814468,0.23809523809523808
54,51,105,-64015.491,12,12,1,0,4,1,22.25663649191485,540.5183148036466,0.08571428571428572
53,52,105,-52811.509,12,12,0,1,3,2,22.25663649191485,562.1390473957924,0.009523809523809525
68,38,106,-34300.0,9,14,0,0,14,10,22.397725109111345,297.0868066359487,8.49056603773585
67,39,106,-45790.0,10,14,1,1,15,11,22.397725109111345,313.1455529405946,7.39622641509434
66,40,106,-58749.0,10,14,0,0,16,10,22.397725109111345,329.6268978322048,6.377358490566038
65,41,106,-66202.678,11,14,1,1,15,9,22.397725109111345,346.5308413107794,5.433962264150943
64,42,106,-76128.003,11,13,0,0,14,8,22.397725109111345,363.8573833763184,4.566037735849057
63,43,106,-79776.253,11,13,1,1,13,7,22.397725109111345,381.60652402882175,3.7735849056603774
62,44,106,-86323.253,11,13,0,0,12,6,22.397725109111345,399.77826326828944,3.056603773584906
61,45,106,-86362.656,11,13,1,1,11,5,22.397725109111345,418.3726010947215,2.4150943396226414
60,46,106,-89907.543,11,13,0,0,10,4,22.397725109111345,437.38953750811794,1.849056603773585
59,47,106,-86942.399,11,13,1,1,9,3,22.397725109111345,456.82907250847876,1.3584905660377358
58,48,106,-87132.153,11,12,0,0,8,2,22.397725109111345,476.6912060958039,0.9433962264150944
57,49,106,-80608.15,11,12,1,1,7,1,22.397725109111345,496.9759382700934,0.6037735849056604
56,50,106,-77353.698,11,12,0,0,6,0,22.397725109111345,517.6832690313473,0.33962264150943394
55,51,106,-66473.301,12,12,1,1,5,1,22.397725109111345,538.8131983795656,0.1509433962264151
54,52,106,-58219.759,12,12,0,0,4,2,22.397725109111345,560.3657263147481,0.03773584905660377
69,38,107,-28250.0,9,15,0,1,13,10,22.538370740628164,296.1584043114318,8.981308411214954
68,39,107,-41970.0,10,14,1,0,14,11,22.538370740628164,312.16696670664436,7.859813084112149
67,40,107,-54020.0,10,14,0,1,15,10,22.538370740628164,328.59680705962563,6.813084112149533
66,41,107,-63723.805,11,14,1,0,16,9,22.538370740628164,345.44792537037563,5.841121495327103
65,42,107,-72544.975,11,14,0,1,15,8,22.538370740628164,362.7203216388944,4.94392523364486
64,43,107,-78749.967,11,13,1,0,14,7,22.538370740628164,380.41399586518196,4.121495327102804
63,44,107,-83862.565,11,13,0,1,13,6,22.538370740628164,398.52894804923824,3.3738317757009346
62,45,107,-86863.711,11,13,1,0,12,5,22.538370740628164,417.0651781910633,2.7009345794392523
61,46,107,-88372.654,11,13,0,1,11,4,22.538370740628164,436.0226862906571,2.102803738317757
60,47,107,-88406.7,11,13,1,0,10,3,22.538370740628164,455.4014723480196,1.5794392523364487
59,48,107,-86990.325,11,13,0,1,9,2,22.538370740628164,475.20153636315086,1.1308411214953271
58,49,107,-83566.667,11,12,1,0,8,1,22.538370740628164,495.4228783360509,0.7570093457943925
57,50,107,-78512.239,11,12,0,1,7,0,22.538370740628164,516.0654982667197,0.45794392523364486
56,51,107,-70653.248,12,12,1,0,6,1,22.538370740628164,537.1293961551572,0.2336448598130841
55,52,107,-60657.0,12,12,0,1,5,2,22.538370740628164,558.6145720013635,0.08411214953271028
54,53,107,-49430.0,12,12,1,0,4,3,22.538370740628164,580.5210258053386,0.009345794392523364
69,39,108,-36780.0,10,15,1,1,13,11,22.678578898107713,311.2004993240337,8.333333333333334
68,40,108,-50950.0,10,14,0,0,14,10,22.678578898107713,327.579472972667,7.2592592592592595
67,41,108,-59545.198,11,14,1,1,15,9,22.678578898107713,344.3784203045987,6.2592592592592595
66,42,108,-70749.297,11,14,0,0,16,8,22.678578898107713,361.5973413198286,5.333333333333333
65,43,108,-75922.831,11,14,1,1,15,7,22.678578898107713,379.23623601835686,4.481481481481482
64,44,108,-83661.404,11,13,0,0,14,6,22.678578898107713,397.2951044001834,3.7037037037037037
63,45,108,-85031.156,11,13,1,1,13,5,22.678578898107713,415.7739464653082,3.0
62,46,108,-89524.215,11,13,0,0,12,4,22.678578898107713,434.6727622137313,2.3703703703703702
61,47,108,-87606.792,11,13,1,1,11,3,22.678578898107713,453.99155164545266,1.8148148148148149
60,48,108,-89252.423,11,13,0,0,10,2,22.678578898107713,473.73031476047237,1.3333333333333333
59,49,108,-84119.828,11,13,1,1,9,1,22.678578898107713,493.8890515587903,0.9259259259259259
58,50,108,-82069.949,11,12,0,0,8,0,22.678578898107713,514.4677620404066,0.5925925925925926
57,51,108,-72445.341,12,12,1,1,7,1,22.678578898107713,535.4664462053212,0.3333333333333333
56,52,108,-65781.676,12,12,0,0,6,2,22.678578898107713,556.885104053534,0.14814814814814814
55,53,108,-52771.0,12,12,1,1,5,3,22.678578898107713,578.7237355850451,0.037037037037037035
70,39,109,-32480.0,10,15,1,0,12,11,22.818354974292443,310.24589056790285,8.81651376146789
69,40,109,-45730.0,10,15,0,1,13,10,22.818354974292443,326.57462165042404,7.715596330275229
68,41,109,-56689.8,11,14,1,0,14,9,22.818354974292443,343.32203814531755,6.6880733944954125
67,42,109,-66659.285,11,14,0,1,15,8,22.818354974292443,360.48814005258345,5.73394495412844
66,43,109,-74282.828,11,14,1,0,16,7,22.818354974292443,378.07292737222167,4.853211009174312
65,44,109,-80738.455,11,14,0,1,15,6,22.818354974292443,396.0764001042322,4.045871559633028
64,45,109,-84999.251,11,13,1,0,14,5,22.818354974292443,414.4985582486151,3.311926605504587
63,46,109,-87606.484,11,13,0,1,13,4,22.818354974292443,433.33940180537036,2.6513761467889907
62,47,109,-88719.431,11,13,1,0,12,3,22.818354974292443,452.5989307744979,2.0642201834862384
61,48,109,-88504.33,11,13,0,1,11,2,22.818354974292443,472.2771451559978,1.5504587155963303
60,49,109,-86489.526,11,13,1,0,10,1,22.818354974292443,492.37404494987004,1.110091743119266
59,50,109,-82630.18,11,13,0,1,9,0,22.818354974292443,512.8896301561147,0.7431192660550459
58,51,109,-76250.986,12,12,1,0,8,1,22.818354974292443,533.8239007747316,0.44954128440366975
57,52,109,-67715.399,12,12,0,1,7,2,22.818354974292443,555.1768568057208,0.22935779816513763
56,53,109,-57672.505,12,12,1,0,6,3,22.818354974292443,576.9484982490825,0.08256880733944955
55,54,109,-46169.546,12,12,0,1,5,4,22.818354974292443,599.1388251048164,0.009174311926605505
70,40,110,-42220.0,10,15,0,0,12,10,22.957704246655545,325.58198749802415,8.181818181818182
69,41,110,-52309.914,11,15,1,1,13,9,22.957704246655545,342.27849967741,7.127272727272727
68,42,110,-64535.814,11,14,0,0,14,8,22.957704246655545,359.39242466128053,6.1454545454545455
67,43,110,-71034.564,11,14,1,1,15,7,22.957704246655545,376.92376244963566,5.236363636363636
66,44,110,-80072.629,11,14,0,0,16,6,22.957704246655545,394.8725130424755,4.4
65,45,110,-82828.693,11,14,1,1,15,5,22.957704246655545,413.2386764397999,3.6363636363636362
64,46,110,-88330.904,11,13,0,0,14,4,22.957704246655545,432.022252641609,2.9454545454545453
63,47,110,-87457.306,11,13,1,1,13,3,22.957704246655545,451.22324164790274,2.327272727272727
62,48,110,-90347.969,11,13,0,0,12,2,22.957704246655545,470.8416434586811,1.7818181818181817
61,49,110,-86469.969,11,13,1,1,11,1,22.957704246655545,490.8774580739441,1.309090909090909
60,50,110,-85841.993,11,13,0,0,10,0,22.957704246655545,511.3306854936918,0.9090909090909091
59,51,110,-77449.745,12,13,1,1,9,1,22.957704246655545,532.2013257179241,0.5818181818181818
58,52,110,-72229.821,12,12,0,0,8,2,22.957704246655545,553.4893787466411,0.32727272727272727
57,53,110,-60467.844,12,12,1,1,7,3,22.957704246655545,575.1948445798427,0.14545454545454545
56,54,110,-51922.636,12,12,0,0,6,4,22.957704246655545,597.317723217529,0.03636363636363636
71,40,111,-36480.0,10,16,0,1,11,10,23.09663188088886,324.6013129206003,8.657657657657658
70,41,111,-48960.0,11,15,1,0,12,9,23.09663188088886,341.2475340960157,7.576576576576577
69,42,111,-59939.813,11,15,0,1,13,8,23.09663188088886,358.3099108008165,6.5675675675675675
68,43,111,-69024.675,11,14,1,0,14,7,23.09663188088886,375.7884430350027,5.63063063063063
67,44,111,-76785.325,11,14,0,1,15,6,23.09663188088886,393.68313079857427,4.7657657657657655
66,45,111,-82303.871,11,14,1,0,16,5,23.09663188088886,411.9939740915312,3.972972972972973
65,46,111,-85985.886,11,14,0,1,15,4,23.09663188088886,430.72097291387354,3.2522522522522523
64,47,111,-88215.447,11,13,1,0,14,3,23.09663188088886,449.8641272656012,2.6036036036036037
63,48,111,-89252.247,11,13,0,1,13,2,23.09663188088886,469.4234371467143,2.027027027027027
62,49,111,-88392.05,11,13,1,0,12,1,23.09663188088886,489.3989025572128,1.5225225225225225
61,50,111,-85938.581,11,13,0,1,11,0,23.09663188088886,509.7905234970967,1.09009009009009
60,51,111,-80836.747,12,13,1,0,10,1,23.09663188088886,530.598299966366,0.7297297297297297
59,52,111,-73587.487,12,13,0,1,9,2,23.09663188088886,551.8222319650206,0.44144144144144143
58,53,111,-64953.795,12,12,1,0,8,3,23.09663188088886,573.4623194930606,0.22522522522522523
57,54,111,-54520.0,12,12,0,1,7,4,23.09663188088886,595.518562550486,0.08108108108108109
